,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade
0,221900.0,3,1.0,1180,5650,1.0,3,7
1,538000.0,3,2.25,2570,7242,2.0,3,7
2,180000.0,2,1.0,770,10000,1.0,3,6
3,604000.0,4,3.0,1960,5000,1.0,5,7
4,510000.0,3,2.0,1680,8080,1.0,3,8
5,1225000.0,4,4.5,5420,101930,1.0,3,11
6,257500.0,3,2.25,1715,6819,2.0,3,7
7,291850.0,3,1.5,1060,9711,1.0,3,7
8,229500.0,3,1.0,1780,7470,1.0,3,7
9,323000.0,3,2.5,1890,6560,2.0,3,7
10,662500.0,3,2.5,3560,9796,1.0,3,8
11,468000.0,2,1.0,1160,6000,1.0,4,7
12,310000.0,3,1.0,1430,19901,1.5,4,7
13,400000.0,3,1.75,1370,9680,1.0,4,7
14,530000.0,5,2.0,1810,4850,1.5,3,7
15,650000.0,4,3.0,2950,5000,2.0,3,9
16,395000.0,3,2.0,1890,14040,2.0,3,7
17,485000.0,4,1.0,1600,4300,1.5,4,7
18,189000.0,2,1.0,1200,9850,1.0,4,7
19,230000.0,3,1.0,1250,9774,1.0,4,7
20,385000.0,4,1.75,1620,4980,1.0,4,7
21,2000000.0,3,2.75,3050,44867,1.0,3,9
22,285000.0,5,2.5,2270,6300,2.0,3,8
23,252700.0,2,1.5,1070,9643,1.0,3,7
24,329000.0,3,2.25,2450,6500,2.0,4,8
25,233000.0,3,2.0,1710,4697,1.5,5,6
26,937000.0,3,1.75,2450,2691,2.0,3,8
27,667000.0,3,1.0,1400,1581,1.5,5,8
28,438000.0,3,1.75,1520,6380,1.0,3,7
29,719000.0,4,2.5,2570,7173,2.0,3,8
30,580500.0,3,2.5,2320,3980,2.0,3,8
31,280000.0,2,1.5,1190,1265,3.0,3,7
32,687500.0,4,1.75,2330,5000,1.5,4,7
33,535000.0,3,1.0,1090,3000,1.5,4,8
34,322500.0,4,2.75,2060,6659,1.0,3,7
35,696000.0,3,2.5,2300,3060,1.5,3,8
36,550000.0,4,1.0,1660,34848,1.0,1,5
37,640000.0,4,2.0,2360,6000,2.0,4,8
38,240000.0,4,1.0,1220,8075,1.0,2,7
39,605000.0,4,2.5,2620,7553,2.0,3,8
40,625000.0,4,2.5,2570,5520,2.0,3,9
41,775000.0,4,2.25,4220,24186,1.0,3,8
42,861990.0,5,2.75,3595,5639,2.0,3,9
43,685000.0,3,1.0,1570,2280,2.0,3,7
44,309000.0,3,1.0,1280,9656,1.0,4,6
45,488000.0,3,2.5,3160,13603,2.0,3,8
46,210490.0,3,1.0,990,8528,1.0,3,6
47,785000.0,4,2.5,2290,13416,2.0,4,9
48,450000.0,3,1.75,1250,5963,1.0,4,7
49,1350000.0,3,2.5,2753,65005,1.0,5,9
50,228000.0,3,1.0,1190,9199,1.0,3,7
51,345000.0,5,2.5,3150,9134,1.0,4,8
52,600000.0,3,1.75,1410,4080,1.0,4,7
53,585000.0,2,1.75,1980,8550,1.0,3,7
54,920000.0,5,2.25,2730,6000,1.5,3,8
55,885000.0,4,2.5,2830,5000,2.0,3,9
56,292500.0,4,2.5,2250,4495,2.0,3,7
57,301000.0,3,2.5,2420,4750,2.0,3,8
58,951000.0,5,3.25,3250,14342,2.0,4,8
59,430000.0,4,3.0,1850,9976,2.0,3,8
60,650000.0,3,2.25,2150,21235,1.0,4,8
61,289000.0,3,1.75,1260,8400,1.0,3,7
62,505000.0,3,1.75,2519,8690,2.0,5,8
63,549000.0,3,1.75,1540,1044,3.0,3,8
64,425000.0,3,2.25,1660,6000,1.0,3,7
65,317625.0,3,2.75,2770,3809,1.5,5,7
66,975000.0,4,2.5,2720,11049,2.0,3,10
67,287000.0,4,2.5,2240,4648,2.0,3,7
68,204000.0,3,1.0,1000,12070,1.0,4,7
69,1325000.0,5,2.25,3200,20158,1.0,3,8
70,1040000.0,5,3.25,4770,50094,1.0,4,11
71,325000.0,3,2.0,1260,5612,1.0,4,7
72,571000.0,4,2.0,2750,7807,1.5,5,7
73,360000.0,4,2.5,2380,5000,2.0,3,8
74,349000.0,3,1.75,1790,50529,1.0,5,7
75,832500.0,4,4.0,3430,35102,2.0,4,10
76,380000.0,4,1.75,1760,7300,1.0,3,7
77,480000.0,3,1.0,1040,5060,1.0,3,7
78,410000.0,3,1.0,1410,5060,1.0,4,7
79,720000.0,4,2.5,3450,39683,2.0,3,10
80,390000.0,3,2.5,2350,5100,2.0,3,8
81,360000.0,4,2.5,1900,5889,2.0,3,7
82,355000.0,2,1.0,2020,6720,1.0,3,7
83,356000.0,3,1.5,1680,8712,1.0,3,8
84,315000.0,3,1.0,960,6634,1.0,3,6
85,940000.0,3,1.5,2140,3600,2.0,3,9
86,305000.0,5,2.25,2660,8400,1.5,5,7
87,461000.0,3,3.25,2770,6278,2.0,3,9
88,215000.0,2,2.25,1610,2040,2.0,4,7
89,335000.0,2,1.75,1030,1066,2.0,3,7
90,243500.0,4,2.5,1980,7403,2.0,3,7
91,1099880.0,5,2.75,3520,6353,2.0,4,10
92,153000.0,3,1.0,1200,10500,1.0,3,7
93,430000.0,3,1.5,1580,5000,1.0,3,8
94,700000.0,3,1.5,1580,5000,1.0,3,8
95,905000.0,4,2.5,3300,10250,1.0,3,7
96,247500.0,3,1.75,1960,15681,1.0,3,7
97,199000.0,4,1.5,1160,6400,1.0,4,7
98,314000.0,3,1.75,1810,41800,1.0,5,7
99,437500.0,3,2.5,2320,36847,2.0,3,9
100,850830.0,3,2.5,2070,13241,1.5,5,9
101,555000.0,3,2.0,1980,3478,1.5,4,7
102,699950.0,3,2.25,2190,107593,2.0,4,8
103,1088000.0,3,2.5,2920,8113,2.0,3,8
104,290000.0,3,1.0,1210,33919,1.0,3,7
105,375000.0,3,2.5,2340,10005,1.0,4,8
106,460000.0,3,1.0,1670,4005,1.5,4,7
107,188500.0,2,1.75,1240,2493,1.0,4,8
108,680000.0,4,2.5,3140,28037,2.0,4,10
109,470000.0,5,1.75,2030,12342,2.0,4,7
110,597750.0,4,2.5,2310,9624,2.0,3,8
111,570000.0,3,1.75,1260,3328,1.0,5,6
112,272500.0,3,1.75,1540,12600,1.0,4,7
113,329950.0,3,1.75,2080,5969,1.0,3,7
114,480000.0,4,2.5,3230,16171,2.0,3,9
115,740500.0,3,3.5,4380,6350,2.0,3,8
116,518500.0,3,3.5,1590,1102,3.0,3,8
117,205425.0,2,1.0,880,6780,1.0,4,6
118,171800.0,4,2.0,1570,9600,1.0,3,6
119,535000.0,4,1.0,1610,2982,1.5,4,7
120,660000.0,3,2.5,2400,6474,1.0,3,8
121,391500.0,3,2.0,1450,9132,1.0,3,7
122,395000.0,2,1.0,770,6000,1.0,3,6
123,445000.0,4,1.75,2100,4400,1.5,5,7
124,770000.0,3,2.25,2910,10204,2.0,3,9
125,1450000.0,4,2.75,2750,17789,1.5,3,8
126,445000.0,3,2.25,2100,8201,1.0,3,8
127,260000.0,4,2.25,2160,8811,1.0,3,8
128,822500.0,5,3.5,2320,4960,2.0,5,7
129,430000.0,4,2.5,2070,4310,2.0,3,7
130,212000.0,3,1.75,1060,7875,1.0,4,7
131,660500.0,4,2.25,2010,9603,1.0,3,8
132,784000.0,3,3.5,3950,111078,1.5,3,9
133,453246.0,3,2.5,2010,2287,2.0,3,8
134,675000.0,4,3.5,2140,2278,3.0,3,9
135,199000.0,3,1.75,1320,17390,1.0,4,7
136,220000.0,4,1.75,2020,7840,1.0,3,7
137,452000.0,4,2.25,2590,10002,1.0,4,8
138,382500.0,2,1.0,1190,4440,1.0,3,6
139,519950.0,3,2.25,1170,1249,3.0,3,8
140,665000.0,2,1.0,1110,3200,1.0,3,7
141,527700.0,5,2.5,2820,9375,1.0,4,8
142,205000.0,3,1.0,1610,8579,1.0,4,7
143,420000.0,3,1.0,1060,8097,1.0,4,7
144,500000.0,4,2.25,2030,8517,1.0,4,8
145,921500.0,4,2.5,3670,315374,2.0,4,9
146,890000.0,4,1.0,2550,4000,2.0,3,8
147,430000.0,2,2.5,2420,60984,2.0,3,7
148,258000.0,5,2.0,2260,12500,1.0,4,8
149,511000.0,3,1.0,1430,3455,1.0,3,7
150,532170.0,3,2.0,1360,3090,2.0,3,8
151,560000.0,3,1.0,1110,5000,1.5,3,7
152,282950.0,3,1.0,1250,8200,1.0,4,7
153,2250000.0,4,3.25,5180,19850,2.0,3,12
154,350000.0,1,1.0,700,5100,1.0,3,7
155,215000.0,3,1.0,1180,7669,1.0,4,7
156,650000.0,5,3.5,3960,25245,2.0,3,9
157,320000.0,4,2.75,2640,7500,1.0,3,8
158,247000.0,3,2.0,1270,7198,1.5,3,7
159,320000.0,4,1.75,1760,11180,1.0,4,8
160,255000.0,5,2.25,2060,8632,1.0,3,7
161,438000.0,3,1.75,1780,9660,1.0,3,7
162,900000.0,3,2.5,3400,16603,2.0,3,10
163,441000.0,3,2.75,1910,7280,1.0,3,7
164,420000.0,3,2.0,2020,38332,1.0,4,7
165,370000.0,3,1.75,1580,7000,1.0,3,7
166,269950.0,2,1.75,1340,7250,1.0,5,5
167,807100.0,4,2.5,2680,4499,2.0,3,9
168,653000.0,3,2.5,2680,9750,1.0,4,8
169,371500.0,3,2.0,1370,8336,1.0,5,7
170,284000.0,3,1.75,1560,21000,1.0,3,7
171,272000.0,3,1.75,2160,7140,1.0,4,7
172,313000.0,3,1.5,1340,7912,1.5,3,7
173,917500.0,4,2.5,3880,35003,2.0,3,10
174,673000.0,4,2.25,2590,8190,2.0,4,8
175,425000.0,3,2.5,1120,1100,2.0,3,8
176,399950.0,5,2.75,1970,5400,1.0,3,7
177,385000.0,3,1.0,1220,4800,1.0,3,6
178,269950.0,3,1.5,1950,7560,1.0,4,7
179,330000.0,2,1.0,1350,8220,1.0,3,7
180,260000.0,3,2.5,1670,5797,2.0,3,7
181,470000.0,4,3.0,2380,5125,1.5,4,7
182,589000.0,4,3.0,2440,9600,2.0,5,7
183,163500.0,2,1.5,1050,3419,2.0,3,7
184,835000.0,4,2.75,3130,13412,2.0,3,9
185,1095000.0,5,3.0,4090,12850,1.0,4,10
186,269000.0,4,1.75,1490,10000,1.0,4,8
187,560000.0,3,2.5,1900,8744,2.0,3,8
188,615000.0,4,1.0,1330,2400,1.5,4,6
189,585188.0,3,2.25,2230,10026,1.0,3,8
190,305000.0,3,1.75,1650,9480,1.0,3,7
191,166950.0,3,1.0,1190,8820,1.0,3,6
192,799000.0,3,2.5,2140,9897,1.0,4,8
193,400000.0,3,2.5,2180,7508,1.0,4,7
194,230000.0,3,1.0,1060,10228,1.0,3,7
195,256883.0,3,2.5,1690,5025,2.0,3,8
196,423000.0,4,2.0,1970,6480,1.5,5,7
197,465000.0,3,2.5,2150,4084,2.0,3,8
198,440000.0,3,2.5,1910,66211,2.0,3,7
199,385000.0,3,1.75,1350,155073,1.0,4,7
200,210000.0,3,1.0,860,11725,1.0,4,6
201,297000.0,3,2.5,1940,14952,2.0,3,8
202,470000.0,3,1.0,1010,5000,1.0,3,7
203,226500.0,3,1.5,1300,7370,1.0,4,7
204,274250.0,3,1.0,910,8450,1.0,4,6
205,840000.0,4,1.75,2480,11010,1.0,4,9
206,677900.0,3,2.5,2440,4587,2.0,3,8
207,425000.0,3,1.0,1010,5864,1.0,3,7
208,180250.0,2,0.75,900,9600,1.0,3,6
209,464000.0,6,3.0,2300,3404,2.0,3,7
210,320000.0,4,2.25,1550,7579,2.0,3,8
211,625504.0,3,2.25,1270,1566,2.0,3,8
212,592500.0,4,2.5,2240,12032,1.0,3,9
213,465000.0,3,2.5,2714,17936,2.0,3,9
214,477000.0,4,2.75,1720,6270,2.0,3,8
215,280000.0,2,1.0,850,16400,1.0,3,6
216,1505000.0,5,3.0,3300,33474,1.0,3,9
217,445838.0,3,2.5,2250,5692,2.0,3,8
218,1072000.0,2,2.25,3900,14864,1.0,3,8
219,467000.0,2,1.5,1320,10800,1.0,4,8
220,686000.0,4,2.5,2760,6440,2.0,3,10
221,279950.0,3,2.0,1750,9750,1.0,3,7
222,527000.0,4,2.25,2330,19436,2.0,3,8
223,325000.0,3,2.25,2220,16020,1.0,4,8
224,328000.0,3,2.25,2020,8379,2.0,3,7
225,390000.0,3,2.25,1250,7500,1.0,5,7
226,479950.0,2,2.0,1510,6516,1.0,3,8
227,264950.0,4,2.25,1720,9753,1.0,4,7
228,235000.0,3,1.0,1430,15246,1.0,4,7
229,516500.0,3,2.5,1480,4729,2.0,3,7
230,655000.0,2,1.75,1450,15798,2.0,3,7
231,500000.0,4,2.75,2280,15347,1.0,5,7
232,315000.0,6,2.75,2940,7350,1.0,3,8
233,213000.0,2,1.0,1000,10200,1.0,3,6
234,475000.0,3,1.5,2480,5280,1.5,5,7
235,1025000.0,5,4.0,3760,28040,2.0,3,10
236,416000.0,3,2.0,2220,94300,1.0,5,7
237,410000.0,4,1.0,1970,4740,1.5,3,7
238,800000.0,3,3.5,3830,221284,2.0,3,10
239,472000.0,6,2.5,4410,14034,1.0,4,9
240,225000.0,3,1.75,1430,8505,1.0,4,7
241,210000.0,2,1.0,830,6000,1.0,3,6
242,455000.0,2,1.0,1430,5000,1.5,2,7
243,225000.0,3,1.0,1300,8316,1.0,4,6
244,480000.0,2,1.0,1030,3060,1.0,4,7
245,363000.0,3,2.5,2740,11872,2.0,3,9
246,2400000.0,4,2.5,3650,8354,1.0,3,9
247,181000.0,2,1.5,720,5120,1.0,3,6
248,250000.0,4,2.0,2010,7312,1.0,4,7
249,481000.0,3,1.75,1560,3000,1.0,4,6
250,260000.0,3,2.0,1810,7209,1.0,4,7
251,455000.0,4,2.5,3360,7685,2.0,3,9
252,415000.0,3,2.25,1510,36224,2.0,3,8
253,349500.0,3,1.0,1400,3538,1.0,3,7
254,245000.0,3,2.5,1730,7442,2.0,3,7
255,592500.0,2,2.0,1420,9191,1.5,5,7
256,385000.0,4,1.75,2360,7620,1.0,4,7
257,315000.0,3,1.75,1580,11455,1.0,4,7
258,255000.0,3,1.0,1230,10170,1.0,3,7
259,693000.0,4,2.5,2460,4425,2.0,3,8
260,780000.0,3,1.0,1660,4400,1.5,3,8
261,237000.0,3,1.75,1270,8470,1.0,4,7
262,525000.0,3,2.25,2100,40510,2.0,3,10
263,425000.0,2,1.0,770,5040,1.0,3,5
264,369900.0,1,0.75,760,10079,1.0,5,5
265,290000.0,4,2.5,1700,7280,2.0,4,7
266,285000.0,3,1.0,1120,10701,1.0,3,7
267,415000.0,2,1.0,1070,4500,1.0,3,7
268,272500.0,3,2.5,2070,9900,1.0,3,8
269,2900000.0,4,3.25,5050,20100,1.5,3,11
270,1365000.0,4,4.75,5310,57346,2.0,4,11
271,436000.0,2,1.0,1040,7538,1.0,4,7
272,210000.0,3,1.0,1700,11390,1.0,4,7
273,236000.0,3,1.0,1300,5898,1.0,3,7
274,331000.0,3,1.75,1080,1306,1.0,3,7
275,365000.0,3,2.5,2653,4510,2.0,3,8
276,450000.0,3,2.0,2290,16258,1.0,5,8
277,770000.0,4,2.75,3820,26300,2.0,3,9
278,455000.0,4,2.5,2210,49375,1.0,3,8
279,405000.0,3,1.75,2390,6000,1.0,3,6
280,304900.0,4,1.75,2600,11325,1.0,4,7
281,170000.0,2,1.0,860,5265,1.0,3,6
